Supplier Name,Stage Invoked,Mandatory Restrictions,Reporting Month, REPORTED Total Monthly Potable Water Production 2014/2015 , REPORTED Total Monthly Potable Water Production 2013 ,REPORTED Monthly CII 2014/2015 (Subset of REPORTED Total Monthly Potable Water Production 2014/2015),REPORTED Monthly Ag Use 2014/2015 (This value is removed from REPORTED Total Monthly Potable Water Production 2014/2015 by Water Board staff to obtain CALCULATED Total Monthly Potable Water Production 2014/2015 Gallons),REPORTED Monthly Ag Use 2013 (This value is removed from REPORTED Total Monthly Potable Water Production 2013 by Water Board Staff to obtain CALCULATED Total Monthly Potable Water Production 2013 Gallons),Optional - REPORTED Recycled Water,REPORTED Units,Qualification,Total Population Served,REPORTED Residential Gallons-per-Capita-Day (R-GPCD) (starting in September 2014),Optional - Enforcement Actions,Optional - Implementation,Conservation Standard (starting in June 2015),Supplier has Agricultural Water Use Exclusion Certification (list of received certifications available at: http://www.waterboards.ca.gov/water_issues/programs/conservation_portal/agriculture/),CALCULATED Total Monthly Potable Water Production 2014/2015 Gallons (Values calculated by Water Board staff. REPORTED Total Monthly Potable Water Production 2014/2015 - REPORTED Monthly Ag Use 2014/2015; converted to gallons.),CALCULATED Total Monthly Potable Water Production 2013 Gallons (Values calculated by Water Board staff. REPORTED Total Monthly Potable Water Production 2013 - REPORTED Monthly Ag Use 2013; converted to gallons.),CALCULATED Monthly CII 2014/2015 (Subset of CALCULATED Total Monthly Potable Water Production 2014/2015 Gallons),CALCULATED R-GPCD 2014/2015 (Values calculated by Water Board staff using methodology available at http://www.waterboards.ca.gov/waterrights/water_issues/programs/drought/docs/ws_tools/guidance_estimate_res_gpcd.pdf),% Residential Use,Comments/Corrections,Hydrologic Region
Buena Park  City of,N/A,No,14-Jun,1498,1497,,,,,AF,"In response to the Governor Brown’s emergency drought declaration Buena Park evaluated the city wide water usage. In keeping with the Governors focus on reducing water usage on outdoor irrigation we decided to include water usage from institutional irrigation metering in the R-GPD calculation.   Buena Park reported residential usage at 65%, which included the institutional irrigation usage. Buena Park’s actual residential water use percentage as reported on the Department of Water Resources Form 38, for calendar year 2014, was 58.5%. Monthly drought reporting is being amended to reflect residential usage at 58.5%.  ",82364,116,,,NULL,No,"488,125,438","487,799,586",Null,115.6,58.5,No Correction,South Coast
South Gate  City of,Stage 1,Yes,15-Aug,714,745,200,,,,AF,,96057,70,,,12%,No,"232,657,919","242,759,313","65,170,285",70.3,90,No Correction,South Coast
South Gate  City of,Stage 1,Yes,15-Jul,662,774,160,,,,AF,,96057,65,,,12%,No,"215,713,645","252,209,004","52,136,228",65.2,90,No Correction,South Coast
South Gate  City of,Stage 1,Yes,15-Jun,667,805,166,,,,AF,,96057,67,,,12%,No,"217,342,902","262,310,399","54,091,337",67.9,90,No Correction,South Coast
South Gate  City of,Stage 1,Yes,15-May,678,745,78,,,,AF,,96057,67,,,NULL,No,"220,927,268","242,759,313","25,416,411",66.8,90,No Correction,South Coast
South Gate  City of,Permanent ,No,15-Apr,622.55,653.61,,,,,AF,,96057,63.35,,,NULL,No,"202,858,806","212,979,751",Null,63.4,90,No Correction,South Coast
South Gate  City of,Permanent,No,15-Mar,622.09,661.14,,,,,AF,Revised Report Prior report had two errors. Residential % and 2013 production number. ,96057,61.26,,,NULL,No,"202,708,914","215,433,412",Null,61.3,90,No Correction,South Coast
South Gate  City of,Permanent ,Yes,15-Feb,492.44,600.57,,,,,AF,,95115,54,,,NULL,No,"160,462,277","195,696,592",Null,54.2,90,No Correction,South Coast
South Gate  City of,Permanent,Yes,15-Jan,760.95,614.77,,,,,AF,,95115,78.2,,,NULL,No,"247,956,643","200,323,682",Null,75.7,90,No Correction,South Coast
South Gate  City of,Permanent,Yes,14-Dec,556.95,587.23,,,,,AF,,95115,55.39,,,NULL,No,"181,482,952","191,349,733",Null,61.5,100,No Correction,South Coast
South Gate  City of,Permanent,Yes,14-Nov,677.77,670.96,,,,,AF,,102832,64,,,NULL,No,"220,852,322","218,633,273",Null,64.4,90,No Correction,South Coast
South Gate  City of,Permanent,Yes,14-Oct,743.63,721.67,,,,,AF,,102832,70.68,,,NULL,No,"242,312,897","235,157,199",Null,68.4,90,No Correction,South Coast
South Gate  City of,Permanent,Yes,14-Sep,699.13,823.44,,,,,AF,,102832,66,,,NULL,No,"227,812,508","268,319,099",Null,66.5,90,No Correction,South Coast
South Gate  City of,Permanent Restricitons,Yes,14-Aug,760.41,745.21,,,,,AF,,102832,,,,NULL,No,"247,780,684","242,827,742",Null,70,90,No Correction,South Coast
South Gate  City of,Permanent Water Restrictrictions,Yes,14-Jul,745.08,773.5,,,,222.7,AF,,95115,,,,NULL,No,"242,785,381","252,046,079",Null,74.1,90,No Correction,South Coast
South Gate  City of,Permanent Water Restriction,Yes,14-Jun,755.51,805.1,,,,202.7,AF,,95115,,,,NULL,No,"246,184,012","262,342,984",Null,77.6,90,No Correction,South Coast
Hillsborough  Town of,2,Yes,15-Aug,130925,221435,,,,0,CCF,,10850,274,The Town continues to enforce water waste prohibitions,,36%,No,"97,938,701","165,644,883",Null,256.2,88,No Correction,San Francisco Bay
Hillsborough  Town of,Stage Two,Yes,15-Jul,121473,211589,,,,,CCF,,10850,238,The Town continues to enforce water waste prohibitions. ,,36%,No,"90,868,114","158,279,564",Null,237.7,88,No Correction,San Francisco Bay
Hillsborough  Town of,Stage Two,Yes,15-Jun,126177,237837,,,,,CCF,,10850,255,The Town continues its water waste enforcement actions. The Town has also implemented mandatory water allocations. The Town will be notifying customers who do exceed their monthly water allotment.,,36%,No,"94,386,951","177,914,431",Null,255.2,88,No Correction,San Francisco Bay
Hillsborough  Town of,One,No,15-May,95400,185277,1%,0,0,,CCF,"The Town does not yet have meter read data to respond completely accurately to the question regarding commercial and institutional use. However, less than 1% of water use goes to commercial/institutional uses in any given month.",10850,187,"The Town continued to enforce water waste prohibitions. No fines were issued because residents complied with warning. In several cases, leak detection services were hired by residents to locate and correct leaks. ",The Town scheduled a June 8 City Council meeting to consider water conservation actions in response to the state mandatory 36% cutback requirement for the Town of Hillsborough. ,NULL,No,"71,364,156","138,596,821",7,186.7,88,No Correction,San Francisco Bay
Hillsborough  Town of,1,No,15-Apr,101031,152520,,,,,CCF,"Regarding WSCP Stage: The Town's City Council will be considering implementing Water Rationing, per Stage 2 of the Town's WSCP, in June 2015",10850,211,"The Town has continued to issue water waste warning letters, and code enforcement has been meeting with repeat offenders to ensure compliance. No citations have been required to date. ","The Town is taking a number of aggressive steps to meet its 36% State mandated cutback target, including going to monthly meter reading, consideration of water rationing allotments, aggressive water conservation programs and measures, and water waste enforcement. ",NULL,No,"75,576,436","114,092,883",Null,204.3,88,No Correction,San Francisco Bay
Hillsborough  Town of,Stage One,No,15-Mar,92639,90521,,,,,CCF,"The Town has been estimating residential water use based on various factors such as bi-monthly residential and CII meter reads, monthly CII meter reads, monthly SFPUC turnout meter reads, known non-revenue water use/loss and estimated unknown non-revenue water use/loss.  Given the recent notification of the Water Board's Proposed Regulatory Framework, the Town will take a closer look at the data to better understand monthly residential use. The Town will report via written communication any changes based on this analysis.",10850,183,The Town adopted in April 2015 new water waste prohibitions in the Water Board's March 2015 Resolution. The Town issued approximately ten verbal warnings and 103 written warnings in March 2015. Written warnings were mailed to the residence where water waste prohibition is discovered. Code enforcement officials have conducted several follow up visits to the properties receiving the warnings. The properties will receive followup letters and visual inspections in the month of April. ,The Town adopted March 2015 Water Waste Prohibition Resolution Regulations in April 2015,NULL,No,"69,298,784","67,714,410",Null,181.3,88,No Correction,San Francisco Bay
Hillsborough  Town of,One,No,15-Feb,60717,75778,,,,,CCF,See June 2014 Notes,10850,136,The Town continued water waste enforcement,The Town continued drought action implementation,NULL,No,"45,419,470","56,685,881",Null,131.6,88,No Correction,San Francisco Bay
Hillsborough  Town of,One,No,15-Jan,56762,54189,,,,,CCF,See June 2014 Notes,10850,115,The Town continued water waste prohibition activities ,The Town continued drought action implementation,NULL,No,"42,460,925","40,536,187",Null,111.1,88,No Correction,San Francisco Bay
Hillsborough  Town of,One,No,14-Dec,49931,80745,,,,0,CCF,See June 2014 Notes.,10825,101,"The Town continued enforcement, including verbal and written warnings",Continued Implementation,NULL,No,"37,350,982","60,401,455",Null,97.9,88,No Correction,San Francisco Bay
Hillsborough  Town of,1,No,14-Nov,44495,95392,,,,,CCF,See June 2014 Notes,10825,93,"The Town continued enforcement, including verbal and written warnings",Continued Implementation,NULL,No,"33,284,571","71,358,171",Null,90.2,88,No Correction,San Francisco Bay
Hillsborough  Town of,1,No,14-Oct,116165,146239,,,,,CCF,See June,10825,235,"The Town continued enforcement, including verbal and written warnings.",Continued Implementation,NULL,No,"86,897,455","109,394,369",Null,227.9,88,No Correction,San Francisco Bay
Hillsborough  Town of,Stage 1,No,14-Sep,138725,179584,,,,,CCF,See June,10825,290,"The Town had 15 formal enforcement actions during the reporting period, ranging from verbal warnings, warning tags to warning letters. All issues thusfar have been resolved without the need for citation and fine.",The Town continues to actively implement its water waste prohibitions and conservation programs to reduce water consumption.,NULL,No,"103,773,506","134,338,161",Null,281.2,88,No Correction,San Francisco Bay
Hillsborough  Town of,One,No,14-Aug,157581,221435,,,,,CCF,See June Notes.,10825,,The Town had five recorded enforcement actions after the Urgency Ordinance was adopted August 11. All were verbal warnings. The first enforcement action occurred August 21. The Town spent much of August bringing Town and Police Department staff up to speed on the new code.,"The Town adopted its Urgency Water Waste Prohibition Ordinance which includes  State's water waste prohibitions, limits irrigation to twice weekly and fines for non-compliance. The Town's water shortage contingency plan does not impose mandatory irrigation restrictions during any stage, since it is designed to respond to SFPUC voluntary (Stage 1) vs. mandatory (Stage 2) rationing requirements. Hillsborough's stage 2 requires mandatory rationing and allocates water based on a set rationing formula. It does not mandate irrigation restrictions at any stage.",NULL,No,"117,878,774","165,644,883",Null,309.1,88,No Correction,San Francisco Bay
Hillsborough  Town of,One,No,14-Jul,195007,211589,,,,,CCF,"See June Qualification Notes. Additionally, please note that Hillsborough does not typically receive water meter read data from SFPUC until 2nd week of each month. Therefore, the Town will as a matter of due course be submitting its UWSRT data approximately one week late every month. ",10850,,See June Enforcement Action Notes.,"The Town began preparation of its Urgency Water Waste Prohibition Ordinance in July for adoption by City Council in August, which includes state water waste prohibitions, two day maximum irrigation restriction and provision for $500/day fines.",NULL,No,"145,875,366","158,279,564",Null,381.7,88,No Correction,San Francisco Bay
Hillsborough  Town of,One,No,14-Jun,178580,237837,,,,,CCF,"The estimated % of residential is based on 2013 annual purchased and retail meter read data. The Town does not have the ability to calculate % of retail residential on a real-time monthly basis since it reads its residential water meters on a bi-monthly basis. Additionally, there are significant off-sets between residential meter reads and wholesale SFPUC (turnout) meter reads. The Town's finance and public works department typically analyze and align the purchased vs. retailed water data on an annual basis.",10825,,"The Town did not have any recorded enforcement actions in June 2014. However, the Town's Public Works and Police Departments notifiy residents of possible leaks, runoff and other possible water waste issues as during the normal course of business.",None. The Town did not receive notice of the State Emergency Resolution until July 2014.,NULL,No,"133,587,117","177,914,431",Null,362,88,No Correction,San Francisco Bay
"California Water Service Company Dixon, City of",2,Yes,15-Aug,117.4,171.6,12,,,,AF,CII quantity of water includes all non-residential sales,9981,107.9,,,28%,No,"38,254,958","55,916,105","3,910,217",107.8,87.2,No Correction,Sacramento River
"California Water Service Company Dixon, City of",2,Yes,15-Jul,117.7,185.9,12.4,,,,AF,CII quantity of water includes all non-residential sales.,9823,111,,,28%,No,"38,352,713","60,575,780","4,040,558",111,88.1,No Correction,Sacramento River
"California Water Service Company Dixon, City of",2,Yes,15-Jun,113.5,176.2,10.1,,,,AF,CII quantity of water includes all non-residential sales.,9841,110.5,,,28%,No,"36,984,137","57,415,021","3,291,099",110.6,88.3,No Correction,Sacramento River
"California Water Service Company Dixon, City of",2,Yes,15-May,108,155.3,9.5,,,,AF,CII quantity of water includes all non-residential sales.,9832,101.8,,,NULL,No,"35,191,954","50,604,727","3,095,589",101.8,88.2,No Correction,Sacramento River
"California Water Service Company Dixon, City of",2,Yes,15-Apr,97.2,114.6,,,,,AF,,9823,94.2,,,NULL,No,"31,672,759","37,342,574",Null,94.2,87.6,No Correction,Sacramento River
"California Water Service Company Dixon, City of",2,Yes,15-Mar,95.4,103.3,,,,,AF,,9826,89.8,,,NULL,No,"31,086,226","33,660,452",Null,89.8,88,No Correction,Sacramento River
"California Water Service Company Dixon, City of",2,Yes,15-Feb,69,73,,,,,AF,,9818,67,,,NULL,No,"22,483,748","23,787,154",Null,67.1,82,No Correction,Sacramento River
"California Water Service Company Dixon, City of",2,Yes,15-Jan,80,74,,,,,AF,,9815,70,,,NULL,No,"26,068,114","24,113,006",Null,69.4,81,No Correction,Sacramento River
"California Water Service Company Dixon, City of",2,Yes,14-Dec,79,97,,,,,AF,,9812,68,,,NULL,No,"25,742,263","31,607,588",Null,68.6,81,No Correction,Sacramento River
"California Water Service Company Dixon, City of",2,Yes,14-Nov,92,112,,,,,AF,,9803,84,,,NULL,No,"29,978,331","36,495,360",Null,83.6,82,No Correction,Sacramento River
"California Water Service Company Dixon, City of",2,Yes,14-Oct,118,136,,,,,AF,,9815,106,,,NULL,No,"38,450,468","44,315,794",Null,106.2,84,No Correction,Sacramento River
"California Water Service Company Dixon, City of",2,Yes,14-Sep,134,148,,,,,AF,,9826,127,,,NULL,No,"43,664,091","48,226,011",Null,127.4,86,No Correction,Sacramento River
"California Water Service Company Dixon, City of",2,No,14-Aug,152,172,,,,,AF,,9650,,,,NULL,No,"49,529,417","56,046,445",Null,142.4,86,No Correction,Sacramento River
"California Water Service Company Dixon, City of",2,No,14-Jul,172,186,,,,,AF,,9650,,,,NULL,No,"56,046,445","60,608,365",Null,163,87,No Correction,Sacramento River
"California Water Service Company Dixon, City of",2,No,14-Jun,168,176,,,,,AF,,9650,,,,NULL,No,"54,743,040","57,349,851",Null,164.5,87,No Correction,Sacramento River
Redlands  City of,Stage 2,Yes,15-Aug,2981.3,3824.6,924.2,,,,AF,"The City cannot provide the exact amount of CII water use because it bills bimonthly, however, CII use is approximately 31% of our overall water usage so the number we provided as our estimated CII use is 31% of the overall production. Note: Resubmitted 8/15 report because of error in first R-GPCD calculation, however, in the second report, I failed to include all information again and did not put the new R-GPCD back in. The correct R-GPCD is 277.7. It was originally calculated using 30 days instead of 31 days in the calculation. This is the reason for this 3rd and final 8/2015 report. Thank you.",77852,277.7,"Customers will only receive a formal violation if the water waste investigator witnesses the violation themselves. All other reports submitted to the City of Redlands are given a door hanger notifying them that a report was submitted to the City for their address, and will provide them a list of the current restrictions. Additionally, the hiring of 2 water waste investigators has created roughly four times more water waste reports based on the number of August reports compared to previous months.",,36%,No,"971,460,859","1,246,251,368","301,151,889",277.7,69,No Correction,South Coast
Redlands  City of,Stage 2,Yes,15-Jul,2610,3284.7,809.1,,,,AF,"The City cannot provide the exact amount of CII water use because it bills bimonthly, however, CII use is approximately 31% of our overall water usage so the number we provided as our estimated CII use is 31% of the overall production.",77852,243.15,"We have hired 2 water waste investigators. One started this week and one is expected to start next week. Judging by the amount of follow ups the water waste inspector has followed up on this week, we expect to complete our backlog and be caught up within the next few weeks.",,36%,No,"850,472,224","1,070,324,182","263,646,390",243.2,69,No Correction,South Coast
Redlands  City of,2,Yes,15-Jun,2187.5,3041.1,,,,,AF,"We currently do not have numbers for CII water used or Commercial Ag. water used, but will provide them at a later date. We bill bi-monthly.  Thank you.",77852,210.58,,,36%,No,"712,799,997","990,946,775",Null,210.6,69,No Correction,South Coast
Redlands  City of,Stage 2,Yes,15-May,1766.7,2788.6,,,,,AF,For 5/15 I hadn't tallied up the water waste reports or follow ups. I have since done that and I am resubmitting to include those numbers. Some additional fields that were not present in the initial 5/15 reporting portal are now present so I answered some of them.,77852,165,,,NULL,No,"575,681,716","908,669,289",Null,164.6,69,No Correction,South Coast
Redlands  City of,Stage 2,Yes,15-Apr,1899.6,2269,,,,,AF,,77852,265,,,NULL,No,"618,987,371","739,356,888",Null,182.9,69,No Correction,South Coast
Redlands  City of,Stage 2,Yes,15-Mar,1818.9,1705.2,,,,,AF,,77852,169.4,,,NULL,No,"592,691,161","555,641,853",Null,169.5,69,No Correction,South Coast
Redlands  City of,Stage 2,Yes,15-Feb,1557,1274.7,,,,,AF,,77852,174.5,,,NULL,No,"507,350,672","415,362,814",Null,174.6,75,No Correction,South Coast
Redlands  City of,Stage 2,Yes,15-Jan,1367.5,1370.3,,,,,AF,,77852,138.48,,,NULL,No,"445,601,826","446,514,210",Null,138.5,75,No Correction,South Coast
Redlands  City of,Stage 2,Yes,14-Dec,1106.7,1529.6,,,,,AF,,77852,112.1,,,NULL,No,"360,619,774","498,422,343",Null,112.1,75,No Correction,South Coast
Redlands  City of,Stage 2,Yes,14-Nov,2128.9,1934.8,,,,,AF,,77852,222.76,,,NULL,No,"693,705,103","630,457,341",Null,222.8,75,No Correction,South Coast
Redlands  City of,Stage 2,Yes,14-Oct,2938.7,2846.6,,,,,AF,,77852,298,,,NULL,No,"957,579,589","927,568,672",Null,297.6,75,No Correction,South Coast
Redlands  City of,Stage 2,Yes,14-Sep,2809.5,3505.6,,,,,AF,"We were originally using 74.6% (or 75% rounding up) as our residential usage, however, the city is in the process of a rate review and through that process determined 69% to be the accurate residential usage. Additionally, at the time of initial potable production reporting for 9/14 staff inadvertently reported our total production, including non-potable. The correct potable production number for 9/14 is reflected in this report, which is 2809.5 acre-feet.",77852,270.4,,,NULL,No,"915,479,584","1,142,304,762",Null,270.5,69,No Correction,South Coast
Redlands  City of,Stage 2,Yes,14-Aug,2692.8,3236.9,,,,,AF,"We were originally using 74.6% as our residential usage, however, the city is in the process of a rate review and through that process determined 69% to be the accurate residential usage. Additionally, at the time the potable production numbers were reported, they were inaccurate and have since been changed to reflect the correct numbers.",77852,250.8,,,NULL,No,"877,452,723","1,054,748,484",Null,250.9,69,No Correction,South Coast
Redlands  City of,Stage 2,Yes,14-Jul,3241.1,2846.5,,,,,AF,"We were originally using 74.6% as our residential usage, however, the city is in the process of a rate review and through that process determined 69% to be the accurate residential usage. ",77852,302,,,NULL,No,"1,056,117,060","927,536,087",Null,301.9,69,No Correction,South Coast
Escondido  City of,Stage 2,Yes,15-Apr,1711.6,1918.2,,,,61.2,AF,Revised report for April 2015.  An incorrect number was entered for 2013.  Potable water used for AG= 400AF,134053,88,,,NULL,No,"557,727,302","625,048,207",Null,88.2,63.6,DATA CORRECTION,South Coast
Redlands  City of,Stage 2,Yes,14-Jun,3078.7,3041.1,,,,,AF,,77852,,"3 notice enforcement system:  1. Notice of Non-Compliance 2. Warning of Penalties 3. Imposition of Penalties (a 25% surcharge of the commodity charge portion of the customers next water bill) Since no citation is issued, utilities staff has authority to issue warnings and penalty.  **Will accept water waste complaints from community and follow up on them and during rebate inspections, if staff sees prohibited use of water.","Mandatory Restrictions, the following are prohibited (there are additional prohibitions not listed): Irrigation (with Sprinklers) between the hours of 12 noon and 8 pm. Failure to repair runoff and leaks Watering of sidewalks and driveways Car/mobile equipment washing without a positive shutoff valve. **Implemented watering schedule:*** -Odd addresses can irrigate on odd days of the month -Even addresses can irrigate on even days of the month",NULL,No,"1,003,198,788","990,946,775",Null,320.4,74.6,No Correction,South Coast
San Juan Water District,Stage 4 Water Crisis,Yes,15-Aug,1316.86,2103.23,137.69,4.79,4.95,,AF,"San Juan Water District is on a bimonthly billing cycle and has provided a best estimate for Commercial, Industrial, and Institutional water. Per SWRCB's directions, this serves as our note on the data deficiency. When more accurate data becomes available, we will file a revised report.",32758,1185,San Juan Water District does not issue financial penalties. San Juan will disconnect water service if compliance is not met. When water service is disconnected the customer must pay a reconnection fee and must prove that the violation has been remedied. ,"San Juan Water District contracted with Paladin Private Security service for assigned staff to observe and document water waste in our district during nighttime and early morning hours. San Juan also hired additional staff to perform water waste patrol in the early morning hours and throughout the day. For the top 100 water users, San Juan is reading meters more frequently and notifying the customers if water reductions are not achieved. Staff also reviews usage at each meter reading looking for customers who have used noticeably more water than the previous month or the same time last year. Also, water used for mandatory flushing is now available to contractors for their “Sprinkling/Irrigation” needs. Per Environmental Agency standards, sprinkling the ground surface with water until it is moist serves an effective dust control method for haul roads and other traffic routes (Smolen et al., 1988) and this practice can be applied to almost any construction site.",36%,No,"429,100,710","685,340,497","44,866,483",380.3,90,No Correction,Sacramento River
San Juan Water District,Stage 4,Yes,15-Jul,1319.67,2237.24,112.38,,,,AF,"San Juan Water District is on a bimonthly billing cycle and is therefore unable to accurately submit the CII data within the current reporting period. We have provided our best estimate and  per SWRCB's directions we are noting the data deficiency in the “Qualifications” field. Once more accurate data are available, we file a revised report for the reporting month.",36761,402.26,San Juan Water District does not financially issue a penalty. San Juan will disconnect water service if compliance is not met. If water service is disconnected the customer will pay a reconnection fee and must prove that the violation has been remedied. ,San Juan Water District hired a night patrol service to find and document water waste. San Juan has also hired additional staff to perform water waste patrol. San Juan is reading meters more frequently for its top 100 water users and notifying the customers if a water reduction is not seen. Staff also reviews usage at each meter reading looking for customers who have used noticeably more than the previous month or at the same time last year.,36%,No,"430,016,353","729,007,847","36,619,183",358.5,95,No Correction,Sacramento River
San Juan Water District,Stage,Yes,15-Jun,1061,1936,53.05,0,0,0,AF,,32733,334,,,36%,No,"345,728,364","630,848,363","17,286,418",334.5,95,No Correction,Sacramento River
San Juan Water District,Stage 4 Water Crisis,Yes,15-May,881,1712,34,,,,AF,,32696,283,22 high users notices / 9 phone calls / 1 site visit  5 site visits / 8 phone calls,San Juan Water District (SJWD) Board approved Conservation Stage 4 Water Crisis with the SWRCB’s requirements included and adopted a modified Stage 4 drought rate that consists of a 10% water shortage charge on the volumetric portion of the water rates. SJWD updated the website rate calculator with the drought rates; added a GPCD calculator to website; created a GPCD conversion chart as bill insert (with Stage 4 defined on back); updated changes and clarifications to Stage 4; implemented WaterSmart free tool monitoring residential users’ water use and provides recommendations on new ways to save water; WaterSmart home water reports launched 5/10/15 (email); mailed reports following week; WaterSmart will alert customers using more than their 2013 water use starting with second report; updated key messages & FAQs; updating bills to include drought rate; changed billing to include 2 years’ history; staff reached out to landscapers who manage streetscapes and HOA’s and received a great response; Customer Service and Conservation staff have talked with hundreds of customers about the new water restrictions; hired one conservation temp to assist with phones and to work on monthly reporting requirements; planning for seasonal conservation temp to assist with field work and hiring after-hours patrol by a security service. Staff specifically dedicated to Conservation efforts: 3 full time Conservation; 1 full-time temporary Conservation; staff assisting in these efforts: 3 full time Customer Service; full time temporary Customer Service; Customer Service Manager and Water Resources Analyst. SJWD website includes outdoor water saving tips; caring for trees in a drought; indoor and outdoor leak detection; indoor water saving tips; water saver home; with District Resources that include Frequently Asked Questions; Rebates; WaterSmart; and GPCD calculator.  SJWD also reduced pressure as follows: Sierra Zone 4 psi ARC N. Zone 5 psi ARC S. Zone 10 psi Crown Point Zone 10 psi Lower GB Zone - Fixed Pressure Management of the reservoir (85 psi) Bacon Pressure Zone - Fixed Pressure Management of the reservoir (60 psi) Leak Repair 2 Main line leaks reported and repaired/ 9 Service Lateral leaks reported and repaired. ,NULL,No,"287,075,107","557,857,643","11,078,949",269.1,95,No Correction,Sacramento River
San Juan Water District,Stage 3,Yes,15-Apr,702,1039,,,,,AF,"As reported to SWRCB staff, the incorrect multiplier was used and has been corrected.",32693,233,,,NULL,No,"228,747,702","338,559,633",Null,221.6,95,No Correction,Sacramento River
San Juan Water District,Stage 3,Yes,15-Mar,625,778,,,,,AF,"As reported to SWRCB staff, the incorrect multiplier was used and has been corrected.",32693,191,,,NULL,No,"203,657,142","253,512,410",Null,190.9,95,No Correction,Sacramento River
San Juan Water District,Stage 3,Yes,15-Feb,333,449,,,,,AF,"As reported to SWRCB staff, the incorrect multiplier was used and has been corrected.",32628,113,,,NULL,No,"108,508,525","146,307,291",Null,112.8,95,No Correction,Sacramento River
San Juan Water District,Stage 3,Yes,15-Jan,347,362,,,,,AF,"As reported to SWRCB staff, the incorrect multiplier was used and has been corrected.",32597,106,"As reported to SWRCB staff, the incorrect multiplier was used and has been corrected.",,NULL,No,"113,070,445","117,958,217",Null,106.3,95,No Correction,Sacramento River
Fountain Valley  City of,Permanent Water Restrictions-Level 0,Yes,15-Apr,767,840,,,,N/A,AF,"Since we bill on a two month cycle, the percent of residential use is more accurate over a two month period. We are in the process of installing an Advanced Metering Infrastructure system that will provide more accurate monthly billing information, expected completion date Summer of 2015. Our Indirect Potable Reuse for this month was 246.1 acre feet we have not backed this out of our total monthly production amount. ",56916,87.79,,,NULL,No,"249,928,045","273,715,199",Null,87.8,60,DATA CORRECTION,South Coast
San Juan Water District,Stage 3,Yes,14-Dec,303,535,,,,,AF,,32606,93,"As reported to SWRCB staff, the incorrect multiplier was used and has been corrected.",,NULL,No,"98,732,982","174,330,513",Null,92.8,95,No Correction,Sacramento River
San Juan Water District,Stage 3,Yes,14-Nov,509,850,,,,,AF,,32593,161,"As reported to SWRCB staff, the incorrect multiplier was used and has been corrected.",,NULL,No,"165,858,376","276,973,713",Null,161.1,95,No Correction,Sacramento River
San Juan Water District,Stage 3,Yes,14-Oct,1040,1335,,,,,AF,"As reported to SWRCB staff, the incorrect multiplier was used and has been corrected.",32584,319,"As reported to SWRCB staff, the incorrect multiplier was used and has been corrected.",,NULL,No,"338,885,484","435,011,655",Null,318.7,95,No Correction,Sacramento River
San Juan Water District,Stage 3,Yes,14-Sep,1386,1608,,,,,AF,"As reported to SWRCB staff, the incorrect multiplier was used and has been corrected.",32575,439,,,NULL,No,"451,630,078","523,969,095",Null,439,95,No Correction,Sacramento River
San Juan Water District,Stage 4,Yes,14-Aug,1316.86,2103.23,137.69,4.79,4.95,,AF,"San Juan Water District is on a bimonthly billing cycle and has provided a best estimate for Commercial, Industrial, and Institutional water. Per SWRCB's directions, this serves as our note on the data deficiency. When data that is more accurate becomes available, we will file a revised report",32758,380,San Juan Water District does not issue financial penalties. San Juan will disconnect water service if compliance is not met. When water service is disconnected the customer must pay a reconnection fee and must prove that the violation has been remedied,"San Juan Water District contracted with Paladin Private Security service for assigned staff to observe, document, and report water waste in our district during nighttime and early morning hours. San Juan also hired additional staff to perform water waste patrol in the early morning hours and throughout the day. For the top 100 water users, San Juan is reading meters more frequently and notifying the customers if water reductions are not achieved. Staff also reviews usage at each meter reading looking for customers who have used noticeably more water than the previous month or the same time last year. Water used for mandatory flushing is now available to contractors for their “Sprinkling/Irrigation” needs. Per Environmental Agency standards, sprinkling the ground surface with water until it is moist serves an effective dust control method for haul roads and other traffic routes (Smolen et al., 1988) and this practice can be applied to almost any construction site.",NULL,No,"429,100,710","685,340,497","44,866,483",380.3,90,No Correction,Sacramento River
San Juan Water District,Stage 3,Yes,14-Jul,1738,2237,,,,,AF,"As reported to SWRCB staff, the incorrect census population data was used and has been corrected.",32572,,,,NULL,No,"566,329,780","728,929,642",Null,532.8,95,No Correction,Sacramento River
San Juan Water District,Stage 3,Yes,14-Jun,1593,1936,,,,,AF,"As reported to SWRCB staff, the incorrect census population data was used and has been corrected.",32550,,,,NULL,No,"519,081,323","630,848,363",Null,505,95,No Correction,Sacramento River
California Water Service Company Dominguez,2,Yes,15-Aug,2474.5,3508.3,1514.2,,,,AF,The reported figures are still in the process of being verified and there may be a need to revise them after additional review. A revised report will be submitted should it be necessary.   CII quantity of water includes all non-residential sales.,142289,66.6,,,16%,No,"806,319,356","1,143,184,561","493,404,231",66.5,36.4,No Correction,South Coast
California Water Service Company Dominguez,2,Yes,15-Jul,2906.7,3177.4,2076.1,,,,AF,CII quantity of water includes all non-residential sales.,142229,67.9,"The numbers for the Water Waste Complaints, Contact Follow-ups, and Warning Actions includes: California Water Service Company Palos Verdes (491), California Water Service Company Hermosa/Redondo (467), and Hawthorne City of (405) service areas.",,16%,No,"947,152,343","1,035,360,324","676,500,148",67.9,31.6,No Correction,South Coast
